Id,SalePrice
1461,121861.21452204877
1462,157932.7582367296
1463,180567.08935087756
1464,191143.00169439678
1465,193751.41395644707
1466,171647.1854424832
1467,172386.9194381709
1468,164965.33114124957
1469,184697.00707687484
1470,125777.80391477904
1471,193814.5039504292
1472,94853.71940577046
1473,95595.02269383351
1474,147948.5884306906
1475,117996.46472321228
1476,369839.5562786751
1477,259239.6687077228
1478,294742.2577268113
1479,263046.15837785136
1480,505946.040340087
1481,324314.1999792952
1482,210019.58929937778
1483,171863.22207004842
1484,164023.44130030271
1485,183315.7864870562
1486,194080.94084129948
1487,340780.1918447201
1488,239652.26703684966
1489,201065.13939394444
1490,222635.87337162934
1491,193397.54069548016
1492,100045.32659651777
1493,180735.95442555388
1494,296813.1130646019
1495,297998.2919115117
1496,227618.19444173458
1497,180781.6644834658
1498,161057.69251880565
1499,158166.04647465792
1500,158564.88018300102
1501,174029.09928419953
1502,149381.36140404516
1503,307857.9669653088
1504,242242.0959207847
1505,224370.92481289565
1506,189411.7672830895
1507,237285.97970367662
1508,195193.79768821286
1509,166179.9749807022
1510,146198.13966816379
1511,148261.49618642524
1512,178922.29296612335
1513,140113.38567258648
1514,153110.15720858716
1515,184347.18475944796
1516,151702.2020309787
1517,166900.7705599524
1518,132102.31511437305
1519,212450.776678405
1520,133276.34472160033
1521,135602.45405886645
1522,170820.77683174022
1523,114109.81711043778
1524,124256.22447429285
1525,123952.16930379302
1526,118382.1478181195
1527,106242.65297195266
1528,142370.05316961472
1529,147567.6502214083
1530,176219.38919799033
1531,105313.89183439674
1532,96668.35334638681
1533,145184.8166434206
1534,123239.27361040928
1535,149934.86918087566
1536,109632.84265258402
1537,68692.76768733139
1538,155582.5041256409
1539,194090.64086724093
1540,88885.5321574532
1541,143741.50651031273
1542,139028.96447623445
1543,191944.81729771936
1544,83416.78467568419
1545,106790.44065391208
1546,122071.91245677318
1547,132392.4761007858
1548,133213.3562741108
1549,114621.50754256449
1550,132747.0813512674
1551,111436.10082341674
1552,133188.1912932492
1553,155415.30270623934
1554,115956.01068474144
1555,175438.5166624984
1556,86158.66828243577
1557,114394.98710872396
1558,91970.63108568183
1559,70524.2500990614
1560,129773.99836847086
1561,128147.99417896732
1562,125105.50145834735
1563,118728.34157104143
1564,153806.87749725842
1565,144209.58087626324
1566,245976.9035627999
1567,75758.86591552889
1568,234046.3563015535
1569,137848.97823240515
1570,133087.81197544263
1571,118394.14117077949
1572,146613.20278476947
1573,256160.717243863
1574,116670.5433043272
1575,234306.66504193915
1576,229291.55182948045
1577,188217.7502259497
1578,141856.19170652112
1579,144998.878739833
1580,190876.62574787755
1581,153755.25135985363
1582,126511.03393099601
1583,302022.2917455182
1584,222240.93031432675
1585,141586.17547916278
1586,68447.87310744113
1587,97426.76195639416
1588,152059.15945462196
1589,95146.53784865122
1590,133488.51893933272
1591,97783.23593810336
1592,109134.12586596007
1593,118173.8995548931
1594,122964.28639162733
1595,112829.26425594093
1596,231834.50558025873
1597,192782.21902127744
1598,209356.42135177625
1599,170281.6541461995
1600,163319.32366338177
1601,65497.892845277376
1602,113925.01596652158
1603,76244.84757023056
1604,272650.1030074991
1605,234117.7768696551
1606,168184.9246856217
1607,168937.75386802354
1608,217967.71766861662
1609,191236.88214126736
1610,158775.9398982557
1611,140980.5637315871
1612,168670.66348838748
1613,158991.56110528883
1614,124294.09533976983
1615,88550.32038375124
1616,77896.91387042918
1617,89216.90398510304
1618,124582.98501265161
1619,136889.01840926055
1620,148126.86007096857
1621,139143.5581610145
1622,141459.93443138766
1623,262666.9786808801
1624,214687.87776353466
1625,120712.80927672698
1626,168437.84914318187
1627,187836.4594507436
1628,270984.7076139969
1629,176851.1985699142
1630,350481.34847955446
1631,225178.0735933681
1632,251251.7775476964
1633,170679.80111002293
1634,183218.8595122932
1635,181369.12618731367
1636,149457.35285574602
1637,191108.88327948496
1638,197972.83112483606
1639,180291.11466625865
1640,256527.55605726255
1641,180748.71931610865
1642,229121.36585305532
1643,224785.44859750988
1644,234443.66386894672
1645,200213.13560443552
1646,159426.74027710917
1647,160423.0675950126
1648,131927.39154503535
1649,139326.39387455146
1650,115771.67027135783
1651,124744.54380283614
1652,96471.75602640331
1653,97685.83076045438
1654,148367.63985176064
1655,146583.38912075834
1656,142913.19428799677
1657,146900.60579848217
1658,149040.15089683697
1659,124941.15619561223
1660,153105.09306868573
1661,437588.83914660814
1662,398744.5722625488
1663,398294.9642355061
1664,495314.39802569884
1665,313854.53577991884
1666,330781.09668429923
1667,371707.91213729815
1668,337224.5968294163
1669,298306.87171089463
1670,362932.77481401723
1671,274267.1112232126
1672,454404.9189112844
1673,296135.63356386934
1674,244454.5007286364
1675,190088.3821047015
1676,191754.76408824278
1677,225436.0843892916
1678,464550.65825602686
1679,394340.5059968595
1680,334220.9034738182
1681,255387.35931175726
1682,314881.6488073566
1683,186056.68901525292
1684,175919.44840542265
1685,176159.71511703078
1686,169127.10899562718
1687,168371.69777844558
1688,188679.26056731658
1689,193090.27619105866
1690,195312.4893480177
1691,182427.69521919513
1692,258808.6837279728
1693,171943.52439143573
1694,183703.06763537566
1695,162600.35415113863
1696,275770.1627764186
1697,168164.07037112597
1698,353393.52763537277
1699,316479.31354396796
1700,256527.63476305816
1701,282174.49055123277
1702,257244.06813329406
1703,255645.84316862287
1704,289607.2989083657
1705,235523.9658971462
1706,455129.7724820475
1707,213608.3036284057
1708,206091.4329111962
1709,278893.44677890633
1710,220117.18334529875
1711,257345.79284081302
1712,251949.50724148256
1713,271393.7420941385
1714,217969.6514680485
1715,209707.40288842385
1716,179861.7103770418
1717,175075.58797570752
1718,131830.8168451879
1719,203520.9403839121
1720,238963.707145486
1721,172738.8802033155
1722,128292.93982025604
1723,155531.40496689448
1724,202713.3476055223
1725,232101.28988694394
1726,184470.18460666717
1727,156323.28758103782
1728,183223.20014192106
1729,163078.6303859519
1730,151370.70730567348
1731,120427.43784007161
1732,126301.11009556892
1733,115305.70885050183
1734,112711.83265747633
1735,130321.85331983815
1736,109378.15142111249
1737,337281.8687181989
1738,240666.5166014727
1739,253132.0994113222
1740,208912.09187599987
1741,187155.79110506788
1742,170119.44606549572
1743,172876.47361052505
1744,318765.09522183315
1745,226524.09232012773
1746,198867.08674078647
1747,222318.80854582626
1748,228975.6444586408
1749,151561.0419407442
1750,132322.88952913586
1751,242932.17279849513
1752,118789.41482910818
1753,148312.1501756779
1754,197830.4279757358
1755,166535.4581632683
1756,128405.90372364863
1757,118879.69813138325
1758,143001.66677958056
1759,160282.32359586027
1760,161827.9979097948
1761,146146.53700753936
1762,175284.40631805357
